episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
134,14,14.0,0.39539615649941506,15.09,9.3,,,16.48,9.3,0,0
135,17,17.0,0.39301531415195307,15.06,9.3,,,16.48,9.3,0,0
136,19,19.0,0.3903749277609552,15.03,9.3,,,16.48,9.3,0,0
137,20,20.0,0.38761882590143293,15.13,9.3,,,16.48,9.3,0,0
138,14,14.0,0.3857036368086351,15.07,9.3,,,16.48,9.3,0,0
139,22,22.0,0.3827172971765296,15.12,9.3,,,16.48,9.3,0,0
140,20,20.0,0.3800268974483244,15.19,9.3,,,16.48,9.3,0,0
141,18,18.0,0.37762527975239196,15.25,9.3,,,16.48,9.3,0,0
142,23,23.0,0.3745835261437309,15.37,9.3,,,16.48,9.3,0,0
143,16,16.0,0.3724852312956982,15.4,9.3,,,16.48,9.3,0,0
144,21,21.0,0.3697530795557585,15.52,9.3,,,16.48,9.3,0,0
145,21,21.0,0.36704553634976494,15.55,9.3,,,16.48,9.3,0,0
146,17,17.0,0.36487158749694215,15.49,9.3,,,16.48,9.3,0,0
147,23,23.0,0.36195559274500566,15.6,9.3,,,16.48,9.3,0,0
148,18,18.0,0.35969358099784443,15.68,9.3,,,16.48,9.3,0,0
149,26,26.0,0.3564570457144344,15.82,20.566666666666666,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,25.0|20.0|26.0|17.0|19.0|18.0|26.0|24.0|16.0|17.0|23.0|24.0|16.0|20.0|22.0|23.0|18.0|17.0|23.0|16.0|19.0|21.0|24.0|16.0|20.0|24.0|20.0|18.0|29.0|16.0,16.48,20.566666666666666,0,1
150,17,17.0,0.35436036818121364,15.87,20.566666666666666,,,16.48,20.566666666666666,0,0
151,15,15.0,0.3525230688355837,15.92,20.566666666666666,,,16.48,20.566666666666666,0,0
152,21,21.0,0.3499707166087369,16.02,20.566666666666666,,,16.48,20.566666666666666,0,0
153,20,20.0,0.3475612810917107,16.05,20.566666666666666,,,16.48,20.566666666666666,0,0
154,25,25.0,0.3445785370714605,16.14,20.566666666666666,,,16.48,20.566666666666666,0,0
155,16,16.0,0.3426863727217196,16.16,20.566666666666666,,,16.48,20.566666666666666,0,0
156,18,18.0,0.34057322115856814,16.0,20.566666666666666,,,16.48,20.566666666666666,0,0
157,20,20.0,0.338244415736362,16.1,20.566666666666666,,,16.48,20.566666666666666,0,0
158,24,24.0,0.3354762090998989,16.21,20.566666666666666,,,16.48,20.566666666666666,0,0
159,19,19.0,0.3333049224367801,16.24,20.566666666666666,,,16.48,20.566666666666666,0,0
160,17,17.0,0.33137720147903993,16.3,20.566666666666666,,,16.48,20.566666666666666,0,0
161,31,31.0,0.3278980892946882,16.37,20.566666666666666,,,16.48,20.566666666666666,0,0
162,25,25.0,0.3251260052563178,16.51,20.566666666666666,,,16.51,20.566666666666666,1,0
163,29,29.0,0.32194757273741154,16.64,20.566666666666666,,,16.64,20.566666666666666,1,0
164,23,23.0,0.3194548338484881,16.52,20.566666666666666,,,16.64,20.566666666666666,0,0
165,19,19.0,0.31741416483685836,16.49,20.566666666666666,,,16.64,20.566666666666666,0,0
166,18,18.0,0.3154962482397059,16.56,20.566666666666666,,,16.64,20.566666666666666,0,0
167,19,19.0,0.3134878524347968,16.53,20.566666666666666,,,16.64,20.566666666666666,0,0
168,16,16.0,0.311809277175222,16.51,20.566666666666666,,,16.64,20.566666666666666,0,0
169,30,30.0,0.3086929675398426,16.65,20.566666666666666,,,16.65,20.566666666666666,1,0
170,15,15.0,0.30714985270487527,16.56,20.566666666666666,,,16.65,20.566666666666666,0,0
171,27,27.0,0.30439725321918343,16.72,20.566666666666666,,,16.72,20.566666666666666,1,0
172,19,19.0,0.30247934431946943,16.83,20.566666666666666,,,16.83,20.566666666666666,1,0
173,28,28.0,0.299681415784661,16.98,20.566666666666666,,,16.98,20.566666666666666,1,0
174,18,18.0,0.2979004896979557,17.03,20.566666666666666,,,17.03,20.566666666666666,1,0
175,19,19.0,0.29603554703741325,17.1,20.566666666666666,,,17.1,20.566666666666666,1,0
176,16,16.0,0.29447686691925096,17.05,20.566666666666666,,,17.1,20.566666666666666,0,0
177,23,23.0,0.2922550052388967,17.17,20.566666666666666,,,17.17,20.566666666666666,1,0
178,15,15.0,0.2908177819989813,17.1,20.566666666666666,,,17.17,20.566666666666666,0,0
