episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
155,53,53.0,0.13540727607028583,22.89,103.63333333333334,,,22.89,103.63333333333334,1,0
156,47,47.0,0.1319612969179095,23.08,103.63333333333334,,,23.08,103.63333333333334,1,0
157,52,52.0,0.1282552697627471,23.46,103.63333333333334,,,23.46,103.63333333333334,1,0
158,53,53.0,0.12458985551590777,23.88,103.63333333333334,,,23.88,103.63333333333334,1,0
159,55,55.0,0.12090195346832239,24.26,103.63333333333334,,,24.26,103.63333333333334,1,0
160,36,36.0,0.1185502021260066,24.46,103.63333333333334,,,24.46,103.63333333333334,1,0
161,37,37.0,0.11618312633700133,24.67,103.63333333333334,,,24.67,103.63333333333334,1,0
162,66,66.0,0.11208333117155472,25.17,103.63333333333334,,,25.17,103.63333333333334,1,0
163,60,60.0,0.10848836699576968,25.66,103.63333333333334,,,25.66,103.63333333333334,1,0
164,48,48.0,0.1057000312066804,26.02,103.63333333333334,,,26.02,103.63333333333334,1,0
165,36,36.0,0.10365851229742587,26.16,103.63333333333334,,,26.16,103.63333333333334,1,0
166,42,42.0,0.10132933666130153,26.36,103.63333333333334,,,26.36,103.63333333333334,1,0
167,67,67.0,0.09772780058539075,26.9,103.63333333333334,,,26.9,103.63333333333334,1,0
168,42,42.0,0.09553958591371038,27.23,103.63333333333334,,,27.23,103.63333333333334,1,0
169,65,65.0,0.09225514706713546,27.7,103.63333333333334,,,27.7,103.63333333333334,1,0
170,150,150.0,0.0851264797915714,29.04,103.63333333333334,,,29.04,103.63333333333334,1,0
171,88,88.0,0.08122065736913511,29.81,103.63333333333334,,,29.81,103.63333333333334,1,0
172,42,42.0,0.0794247839443333,30.13,103.63333333333334,,,30.13,103.63333333333334,1,0
173,52,52.0,0.07726034805586929,30.54,103.63333333333334,,,30.54,103.63333333333334,1,0
174,101,101.0,0.07323615423665229,31.39,103.63333333333334,,,31.39,103.63333333333334,1,0
175,105,105.0,0.06929220048369625,32.33,103.63333333333334,,,32.33,103.63333333333334,1,0
176,105,105.0,0.06557843523534779,33.28,103.63333333333334,,,33.28,103.63333333333334,1,0
177,47,47.0,0.06398708167535075,33.64,103.63333333333334,,,33.64,103.63333333333334,1,0
178,63,63.0,0.06192008730597658,34.03,103.63333333333334,,,34.03,103.63333333333334,1,0
179,53,53.0,0.06023802920526585,34.42,103.63333333333334,,,34.42,103.63333333333334,1,0
180,123,123.0,0.05652563128059185,35.55,103.63333333333334,,,35.55,103.63333333333334,1,0
181,124,124.0,0.05303861829953924,36.66,103.63333333333334,,,36.66,103.63333333333334,1,0
182,162,162.0,0.04884062218344517,38.1,103.63333333333334,,,38.1,103.63333333333334,1,0
183,94,94.0,0.046577472717279,38.9,103.63333333333334,,,38.9,103.63333333333334,1,0
184,86,86.0,0.04461099525171573,39.67,103.63333333333334,,,39.67,103.63333333333334,1,0
185,100,100.0,0.04244292447748788,40.55,103.63333333333334,,,40.55,103.63333333333334,1,0
186,104,104.0,0.04031605674455947,41.43,103.63333333333334,,,41.43,103.63333333333334,1,0
187,92,92.0,0.03853734815580903,42.23,103.63333333333334,,,42.23,103.63333333333334,1,0
188,82,82.0,0.03702907362971297,42.92,103.63333333333334,,,42.92,103.63333333333334,1,0
189,16,16.0,0.036742945846681224,42.95,103.63333333333334,,,42.95,103.63333333333334,1,0
190,14,14.0,0.03649472590199299,42.96,103.63333333333334,,,42.96,103.63333333333334,1,0
191,15,15.0,0.036230975344561364,42.96,103.63333333333334,,,42.96,103.63333333333334,0,0
192,16,16.0,0.03595212776883297,42.99,103.63333333333334,,,42.99,103.63333333333334,1,0
193,18,18.0,0.03564146352306875,43.07,103.63333333333334,,,43.07,103.63333333333334,1,0
194,14,14.0,0.03540204030983502,43.08,103.63333333333334,,,43.08,103.63333333333334,1,0
195,16,16.0,0.03513075423249106,43.06,103.63333333333334,,,43.08,103.63333333333334,0,0
196,17,17.0,0.03484522374746305,43.13,103.63333333333334,,,43.13,103.63333333333334,1,0
197,13,13.0,0.03462874505832611,43.1,103.63333333333334,,,43.13,103.63333333333334,0,0
198,15,15.0,0.03438095660026198,43.14,103.63333333333334,,,43.14,103.63333333333334,1,0
