cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
111,879,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
112,881,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,894,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
114,896,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,909,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
116,911,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,924,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
118,926,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,939,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
120,941,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,954,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
122,956,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,969,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
124,971,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,984,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
126,986,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,999,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
128,1001,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1014,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
130,1016,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1029,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
132,1031,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1044,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
134,1046,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1059,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
136,1061,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1074,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
138,1076,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1089,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
140,1091,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1104,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
142,1106,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1119,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
144,1121,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1134,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
146,1136,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1149,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
148,1151,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1164,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
150,1166,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1179,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
152,1181,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1194,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
154,1196,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1209,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
156,1211,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1224,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
158,1226,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
