cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
64,521,1362480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,534,1396410.0,13,constant,-3116,7887,3270,7028,5681,7101,6817,7433,7472,7796,7920,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
66,536,1401630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,549,1435560.0,13,constant,-3116,7887,3270,7028,5681,7101,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
68,551,1440780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,564,1474710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
70,566,1479930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,579,1513860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
72,581,1519080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,594,1553010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
74,596,1558230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,609,1592160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
76,611,1597380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,624,1631310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
78,626,1636530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,639,1670460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
80,641,1675680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,654,1709610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
82,656,1714830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,669,1748760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
84,671,1753980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,684,1787910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
86,686,1793130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,699,1827060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
88,701,1832280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,714,1866210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
90,716,1871430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,729,1905360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
92,731,1910580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,744,1944510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
94,746,1949730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,759,1983660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
96,761,1988880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,774,2022810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
98,776,2028030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,789,2061960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
100,791,2067180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,804,2101110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
102,806,2106330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,819,2140260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
104,821,2145480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,834,2179410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
106,836,2184630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,849,2218560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
108,851,2223780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,864,2257710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
110,866,2262930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,879,2296860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
112,881,2302080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,894,2336010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
114,896,2341230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,909,2375160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
116,911,2380380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,924,2414310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
118,926,2419530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,939,2453460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
120,941,2458680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,954,2492610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
122,956,2497830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,969,2531760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
124,971,2536980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,984,2570910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
126,986,2576130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,999,2610060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
128,1001,2615280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1014,2649210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
130,1016,2654430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1029,2688360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
132,1031,2693580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1044,2727510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
134,1046,2732730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1059,2766660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
136,1061,2771880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1074,2805810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
138,1076,2811030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1089,2844960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
140,1091,2850180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1104,2884110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
142,1106,2889330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1119,2923260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
144,1121,2928480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1134,2962410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
146,1136,2967630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1149,3001560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
148,1151,3006780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1164,3040710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
150,1166,3045930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1179,3079860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
152,1181,3085080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1194,3119010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
154,1196,3124230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1209,3158160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
156,1211,3163380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1224,3197310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
158,1226,3202530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1239,3236460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
160,1241,3241680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1254,3275610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
162,1256,3280830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1269,3314760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
164,1271,3319980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1284,3353910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
166,1286,3359130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1299,3393060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
168,1301,3398280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1314,3432210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
170,1316,3437430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1329,3471360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
172,1331,3476580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1344,3510510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
174,1346,3515730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
